연번,시도청,경찰서,관서명,구분,전화번호,주소,category,주소,location,lat,lng,img
1,서울청,서울중부,을지,지구대,02-2279-1908,서울특별시 중구  을지로 234,경찰서,서울특별시 중구  을지로 234,서울중부 을지지구대,37.5659094,126.9827821,police1
2,서울청,서울중부,광희,지구대,02-2233-1444,서울특별시 중구  퇴계로 375-1,경찰서,서울특별시 중구  퇴계로 375-1,서울중부 광희지구대,37.5652647,127.01334641305979,police2
3,서울청,서울중부,약수,지구대,02-2234-8112,"서울특별시 중구  동호로 5길 15, 약수지구대",경찰서,"서울특별시 중구  동호로 5길 15, 약수지구대",서울중부 약수지구대,37.5521442775352,127.0123820902,police3
4,서울청,서울중부,신당,파출소,02-2252-0435,"서울특별시 중구  다산로 248 (신당동, 신당파출소)",경찰서,서울특별시 중구  다산로 248 ,서울중부 신당파출소,37.5650442671787,127.01638496365,police4
5,서울청,서울중부,장충,파출소,02-2274-9003,서울특별시 중구  동호로 261,경찰서,서울특별시 중구  동호로 261,서울중부 장충파출소,37.5603991,127.002811,police5
6,서울청,서울중부,충무,파출소,02-2278-7710,서울특별시 중구  퇴계로 178,경찰서,서울특별시 중구  퇴계로 178,서울중부 충무파출소,37.5611814,126.9899434,police6
7,서울청,서울중부,을지로3가,파출소,02-2266-2404,서울특별시 중구 충무로56-1,경찰서,서울특별시 중구 충무로56-1,서울중부 을지로3가파출소,37.5661815238113,126.992848341729,police7
8,서울청,서울종로,종로2가,지구대,02-3701-4301,서울특별시 종로구  종로17길 4 종로2가파출소,경찰서,서울특별시 종로구  종로17길 4 종로2가파출소,서울종로 종로2가지구대,37.5705022157858,126.988922852655,police8
9,서울청,서울종로,관수,파출소,02-3701-4302,서울특별시 종로구  삼일대로 386,경찰서,서울특별시 종로구  삼일대로 386,서울종로 관수파출소,37.5702966,126.9878417,police9
10,서울청,서울종로,세검정,파출소,02-3701-4507,서울특별시 종로구  세검정로 226 ,경찰서,서울특별시 종로구  세검정로 226 ,서울종로 세검정파출소,37.6006292,126.9587664,police10
11,서울청,서울종로,평창,파출소,02-3701-4308,서울특별시 종로구  평창문화로 46,경찰서,서울특별시 종로구  평창문화로 46,서울종로 평창파출소,37.6115621,126.979947,police11
12,서울청,서울종로,삼청,파출소,02-3701-4303,서울특별시 종로구  삼청로 66,경찰서,서울특별시 종로구  삼청로 66,서울종로 삼청파출소,37.58136255,126.98114880803581,police12
13,서울청,서울종로,통의,파출소,02-3701-4304,서울특별시 종로구  효자로 9,경찰서,서울특별시 종로구  효자로 9,서울종로 통의파출소,37.5829919,126.9736714,police13
14,서울청,서울종로,청운,파출소,02-3701-4305,서울특별시 종로구  자하문로 92-1,경찰서,서울특별시 종로구  자하문로 92-1,서울종로 청운파출소,37.5832353,126.9720097,police14
15,서울청,서울종로,옥인,파출소,02-3701-4506,서울특별시 종로구  자하문로17길 24,경찰서,서울특별시 종로구  자하문로17길 24,서울종로 옥인파출소,37.5813626,126.9697781,police15
16,서울청,서울종로,교남,파출소,02-3701-4310,서울특별시 종로구  송월길 167(교북동 10-38),경찰서,서울특별시 종로구  송월길 167,서울종로 교남파출소,37.5723,126.9612,police16
17,서울청,서울종로,세종로,파출소,02-3701-4312,서울특별시 중구  세종대로 141,경찰서,서울특별시 중구  세종대로 141,서울종로 세종로파출소,37.5625502,126.9762805,police17
18,서울청,서울종로,신문로,파출소,02-3701-4311,서울특별시 종로구  경희궁길 6-3,경찰서,서울특별시 종로구  경희궁길 6-3,서울종로 신문로파출소,37.57072565,126.97220282388342,police18
19,서울청,서울종로,사직,파출소,02-3701-4309,서울특별시 종로구  사직로9길 1,경찰서,서울특별시 종로구  사직로9길 1,서울종로 사직파출소,37.576191449999996,126.96882915,police19
20,서울청,서울종로,청진,파출소,02-3701-4313,서울특별시 종로구  삼봉로 33 청진파출소,경찰서,서울특별시 종로구  삼봉로 33 청진파출소,서울종로 청진파출소,37.5725858,126.9790194328744,police20
21,서울청,서울남대문,태평로,파출소,02-2096-8471,서울특별시 중구  다동길 11,경찰서,서울특별시 중구  다동길 11,서울남대문 태평로파출소,37.5679325,126.9799967544752,police21
22,서울청,서울남대문,서울역,파출소,02-2096-8472,서울특별시 중구  통일로 13,경찰서,서울특별시 중구  통일로 13,서울남대문 서울역파출소,37.5656627,126.9668554,police22
23,서울청,서울남대문,명동,파출소,02-2096-8473,서울특별시 중구  명동길 30 명동파출소,경찰서,서울특별시 중구  명동길 30 명동파출소,서울남대문 명동파출소,37.5635895671109,126.983968494252,police23
24,서울청,서울남대문,남대문,파출소,02-2096-8474,서울특별시 중구  남대문시장4길 28-16,경찰서,서울특별시 중구  남대문시장4길 28-16,서울남대문 남대문파출소,37.558908,126.9772351,police24
25,서울청,서울남대문,중림,파출소,02-2096-8475,서울특별시 중구  중림로 36,경찰서,서울특별시 중구  중림로 36,서울남대문 중림파출소,37.559202,126.9652818,police25
26,서울청,서울남대문,회현,파출소,02-2096-8476,서울특별시 중구  퇴계로6길 3-10,경찰서,서울특별시 중구  퇴계로6길 3-10,서울남대문 회현파출소,37.5572539,126.9785719,police26
27,서울청,서울남대문,서소문,파출소,02-2096-8477,서울특별시 중구  서소문로 131-1 서소문파출소,경찰서,서울특별시 중구  서소문로 131-1 서소문파출소,서울남대문 서소문파출소,37.5638078,126.97540075828061,police27
28,서울청,서울서대문,충정로,지구대,02-335-8301,서울특별시 서대문구  독립문로 25-1,경찰서,서울특별시 서대문구  독립문로 25-1,서울서대문 충정로지구대,37.5679034,126.9629603,police28
29,서울청,서울서대문,신촌,지구대,02-335-8302,서울특별시 서대문구  신촌역로 22,경찰서,서울특별시 서대문구  신촌역로 22,서울서대문 신촌지구대,37.5591277,126.9425972,police29
30,서울청,서울서대문,홍은,파출소,02-335-8303,서울특별시 서대문구 세검정로1길 112,경찰서,서울특별시 서대문구 세검정로1길 112,서울서대문 홍은파출소,37.5920395,126.9430281,police30
31,서울청,서울서대문,연희,파출소,02-335-8304,서울특별시 서대문구  연희로25길 73,경찰서,서울특별시 서대문구  연희로25길 73,서울서대문 연희파출소,37.5730564,126.9349405,police31
32,서울청,서울서대문,남가좌,파출소,02-335-8305,서울특별시 서대문구  가재울로4길 51,경찰서,서울특별시 서대문구  가재울로4길 51,서울서대문 남가좌파출소,37.5753915,126.9227481,police32
33,서울청,서울서대문,북가좌,파출소,02-335-8306,서울특별시 서대문구  증가로 244,경찰서,서울특별시 서대문구  증가로 244,서울서대문 북가좌파출소,37.5822059,126.9137949,police33
34,서울청,서울서대문,홍제,파출소,02-335-8307,서울특별시 서대문구  통일로 441-1,경찰서,서울특별시 서대문구  통일로 441-1,서울서대문 홍제파출소,37.5711676,126.960453,police34
35,서울청,서울서대문,홍은2,파출소,02-335-8308,서울특별시 서대문구  연희로 298,경찰서,서울특별시 서대문구  연희로 298,서울서대문 홍은2파출소,37.562031,126.9282994,police35
36,서울청,서울혜화,혜화,파출소,02-762-0811,서울특별시 종로구  창경궁로 279 ,경찰서,서울특별시 종로구  창경궁로 279 ,서울혜화 혜화파출소,37.5689866,126.9979243,police36
37,서울청,서울혜화,대학로,파출소,02-763-1230,서울특별시 종로구  이화장2길 33,경찰서,서울특별시 종로구  이화장2길 33,서울혜화 대학로파출소,37.5786519,127.0059099,police37
38,서울청,서울혜화,명륜,파출소,02-762-1120,서울특별시 종로구  성균관로 78,경찰서,서울특별시 종로구  성균관로 78,서울혜화 명륜파출소,37.587395,126.9970466,police38
39,서울청,서울혜화,창신,파출소,02-763-4200,서울특별시 종로구  지봉로13길 20-12,경찰서,서울특별시 종로구  지봉로13길 20-12,서울혜화 창신파출소,37.5774224,127.013386,police39
40,서울청,서울혜화,동묘,파출소,02-2252-0547,서울특별시 종로구  종로58가길 19 동묘파출소,경찰서,서울특별시 종로구  종로58가길 19 동묘파출소,서울혜화 동묘파출소,37.5726963187211,127.017117455617,police40
41,서울청,서울혜화,덕산,파출소,02-763-6843,서울특별시 종로구  창신길 98,경찰서,서울특별시 종로구  창신길 98,서울혜화 덕산파출소,37.5754981,127.0103316,police41
42,서울청,서울혜화,종로5가,파출소,02-2267-2287,서울특별시 종로구  동호로 407,경찰서,서울특별시 종로구  동호로 407,서울혜화 종로5가파출소,37.5703589,127.0014302,police42
43,서울청,서울혜화,효제,파출소,02-762-8485,서울특별시 종로구  종로41나길 24-6,경찰서,서울특별시 종로구  종로41나길 24-6,서울혜화 효제파출소,37.5730297,127.0057926,police43
44,서울청,서울용산,원효,지구대,02-2198-0191,서울특별시 용산구  백범로 329,경찰서,서울특별시 용산구  백범로 329,서울용산 원효지구대,37.5399274,126.9596785,police44
45,서울청,서울용산,용중,지구대,02-2198-0117,"서울특별시 용산구  후암로16나길 17, 용중지구대",경찰서,"서울특별시 용산구  후암로16나길 17, 용중지구대",서울용산 용중지구대,37.549159039208,126.978479404326,police45
46,서울청,서울용산,이태원,파출소,02-2198-0125,서울특별시 용산구  이태원로 184,경찰서,서울특별시 용산구  이태원로 184,서울용산 이태원파출소,37.5344707,126.9928353,police46
47,서울청,서울용산,한남,파출소,02-2198-0136,"서울특별시 용산구  대사관로34길 53, 한남파출소",경찰서,"서울특별시 용산구  대사관로34길 53, 한남파출소",서울용산 한남파출소,37.5310848781248,127.006342547451,police47
48,서울청,서울용산,보광,파출소,02-2198-0143,"서울특별시 용산구  보광로 25-1, 보광파출소",경찰서,"서울특별시 용산구  보광로 25-1, 보광파출소",서울용산 보광파출소,37.5265772465655,127.000208837482,police48
49,서울청,서울용산,삼각지,파출소,02-2198-0152,서울특별시 용산구  한강대로198-2,경찰서,서울특별시 용산구  한강대로198-2,서울용산 삼각지파출소,37.5361101058592,126.974708440403,police49
50,서울청,서울용산,한강로,지구대,02-2198-0158,서울특별시 용산구  서빙고로67,경찰서,서울특별시 용산구  서빙고로67,서울용산 한강로지구대,37.5248628078572,126.970412727842,police50
51,서울청,서울성북,돈암,지구대,02-920-1810,서울특별시 성북구  아리랑로5길 54,경찰서,서울특별시 성북구  아리랑로5길 54,서울성북 돈암지구대,37.5972539,127.0125685,police51
52,서울청,서울성북,안암,지구대,02-920-1820,서울특별시 성북구  지봉로21길 45,경찰서,서울특별시 성북구  지봉로21길 45,서울성북 안암지구대,37.5851816,127.0175598,police52
53,서울청,서울성북,길음,지구대,02-920-1830,서울특별시 성북구  삼양로13길 51 길음지구대,경찰서,서울특별시 성북구  삼양로13길 51 길음지구대,서울성북 길음지구대,37.6106064012716,127.019265676419,police53
54,서울청,서울성북,정릉,파출소,02-920-1840,서울특별시 성북구  솔샘로 111,경찰서,서울특별시 성북구  솔샘로 111,서울성북 정릉파출소,37.6121941,127.0055695,police54
55,서울청,서울성북,정릉2,파출소,02-920-1850,서울특별시 성북구  정릉로26길 6 정릉2파출소,경찰서,서울특별시 성북구  정릉로26길 6 정릉2파출소,서울성북 정릉2파출소,37.6045609452845,127.010720369254,police55
56,서울청,서울성북,성북,파출소,02-920-1860,서울특별시 성북구  성북로 94  성북파출소,경찰서,서울특별시 성북구  성북로 94  성북파출소,서울성북 성북파출소,37.5932727259297,126.998471952841,police56
57,서울청,서울동대문,답십리,지구대,02-961-4301,서울시 동대문구 사가정로 2길 9,경찰서,서울시 동대문구 사가정로 2길 9,서울동대문 답십리지구대,37.5712942968163,127.051067616943,police57
58,서울청,서울동대문,용신,지구대,02-961-4302,서울특별시 동대문구  청계천로549,경찰서,서울특별시 동대문구  청계천로549,서울동대문 용신지구대,37.5728434233834,127.037208959975,police58
59,서울청,서울동대문,청량리,파출소,02-961-4303,서울특별시 동대문구 약령시로21길 15,경찰서,서울특별시 동대문구 약령시로21길 15,서울동대문 청량리파출소,37.5841185,127.04528721693885,police59
60,서울청,서울동대문,제기,파출소,02-961-4304,서울특별시 동대문구 약령시로 17길 59-11,경찰서,서울특별시 동대문구 약령시로 17길 59-11,서울동대문 제기파출소,37.5855626699461,127.042026415272,police60
61,서울청,서울동대문,전농1,파출소,02-961-4305,서울특별시 동대문구 서울시립대로 56,경찰서,서울특별시 동대문구 서울시립대로 56,서울동대문 전농1파출소,37.5778439,127.0490418,police61
62,서울청,서울동대문,전농2,파출소,02-961-4306,서울특별시 동대문구 전농로38다길 21,경찰서,서울특별시 동대문구 전농로38다길 21,서울동대문 전농2파출소,37.5862304,127.0541279,police62
63,서울청,서울동대문,장안1,파출소,02-961-4307,서울특별시 동대문구 한천로20길 7,경찰서,서울특별시 동대문구 한천로20길 7,서울동대문 장안1파출소,37.5692565,127.0653804,police63
64,서울청,서울동대문,장안2,파출소,02-961-4308,서울특별시 동대문구  답십리로 69길 100,경찰서,서울특별시 동대문구  답십리로 69길 100,서울동대문 장안2파출소,37.5767936401153,127.074403847227,police64
65,서울청,서울동대문,이문,지구대,02-961-4309,서울특별시 동대문구  한천로 402,경찰서,서울특별시 동대문구  한천로 402,서울동대문 이문지구대,37.5995567,127.0675418,police65
66,서울청,서울동대문,휘경,파출소,02-961-4310,서울특별시 동대문구  한천로 266,경찰서,서울특별시 동대문구  한천로 266,서울동대문 휘경파출소,37.5702311,127.0642937,police66
67,서울청,서울동대문,회기,파출소,02-961-4311,서울특별시 동대문구  회기로18길 2,경찰서,서울특별시 동대문구  회기로18길 2,서울동대문 회기파출소,37.590221,127.0540786,police67
68,서울청,서울마포,서강,지구대,02-334-4975,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)",경찰서,서울특별시 마포구  독막로22길 8,서울마포 서강지구대,37.5473472146038,126.929311426746,police68
69,서울청,서울마포,공덕,지구대,02-703-0492,서울특별시 마포구 마포대로 195-1,경찰서,서울특별시 마포구 마포대로 195-1,서울마포 공덕지구대,37.5480632,126.9531495,police69
70,서울청,서울마포,월드컵,지구대,02-373-1113,서울특별시 마포구  월드컵북로 30길 24,경찰서,서울특별시 마포구  월드컵북로 30길 24,서울마포 월드컵지구대,37.5687316891162,126.909082347349,police70
71,서울청,서울마포,홍익,지구대,02-334-8150,서울특별시 마포구  양화로11길 63,경찰서,서울특별시 마포구  양화로11길 63,서울마포 홍익지구대,37.5518366,126.9162644,police71
72,서울청,서울마포,용강,지구대,02-716-6391,서울특별시 마포구 토정로31길 35,경찰서,서울특별시 마포구 토정로31길 35,서울마포 용강지구대,37.5414223,126.9422933,police72
73,서울청,서울마포,상암,파출소,02-309-9525,서울특별시 마포구  매봉산로 76,경찰서,서울특별시 마포구  매봉산로 76,서울마포 상암파출소,37.5748934,126.8900691,police73
74,서울청,서울마포,망원,파출소,02-337-5908,서울특별시 마포구  망원로2길 63,경찰서,서울특별시 마포구  망원로2길 63,서울마포 망원파출소,37.554343,126.902656,police74
75,서울청,서울마포,연남,파출소,02-334-4974,서울특별시 마포구  연남로 4,경찰서,서울특별시 마포구  연남로 4,서울마포 연남파출소,37.5673937,126.9168413,police75
76,서울청,서울영등포,중앙,지구대,02-2118-9101,서울특별시 영등포구  영등포로46길 14,경찰서,서울특별시 영등포구  영등포로46길 14,서울영등포 중앙지구대,37.5186124,126.9078018,police76
77,서울청,서울영등포,여의도,지구대,02-2118-9102,서울특별시 영등포구  여의공원로 120 여의도지구대,경찰서,서울특별시 영등포구  여의공원로 120 여의도지구대,서울영등포 여의도지구대,37.529616000000004,126.9267096922539,police77
78,서울청,서울영등포,문래,지구대,02-2118-9103,서울특별시 영등포구  경인로 759,경찰서,서울특별시 영등포구  경인로 759,서울영등포 문래지구대,37.5200082,126.9145774,police78
79,서울청,서울영등포,신풍,지구대,02-2118-9104,서울특별시 영등포구 신길동 4533-16,경찰서,서울특별시 영등포구 신길동 4533-16,서울영등포 신풍지구대,37.50556,126.91278,police79
80,서울청,서울영등포,신길,지구대,02-2118-9105,서울특별시 영등포구 노량진로 11,경찰서,서울특별시 영등포구 노량진로 11,서울영등포 신길지구대,37.5126598,126.9258013,police80
81,서울청,서울영등포,양평,파출소,02-2118-9106,서울특별시 영등포구  선유로 95,경찰서,서울특별시 영등포구  선유로 95,서울영등포 양평파출소,37.5317764,126.8945263,police81
82,서울청,서울영등포,당산,지구대,02-2118-9107,서울특별시 영등포구  당산로 221,경찰서,서울특별시 영등포구  당산로 221,서울영등포 당산지구대,37.5320286,126.9003117,police82
83,서울청,서울영등포,대림,지구대,02-2118-9108,서울특별시 영등포구  대림로23길 16-1,경찰서,서울특별시 영등포구  대림로23길 16-1,서울영등포 대림지구대,37.493486,126.8991851,police83
84,서울청,서울영등포,대림3,파출소,02-2118-9109,서울특별시 영등포구 대림로 197,경찰서,서울특별시 영등포구 대림로 197,서울영등포 대림3파출소,37.498413,126.8980401,police84
85,서울청,서울영등포,영등포역,파출소,02-2118-9110,서울특별시 영등포구 영신로20길 11,경찰서,서울특별시 영등포구 영신로20길 11,서울영등포 영등포역파출소,37.5150139,126.9081489,police85
86,서울청,서울성동,한양,지구대,02-2292-5975,서울특별시 성동구  사근동길 5,경찰서,서울특별시 성동구  사근동길 5,서울성동 한양지구대,37.5609,127.04555,police86
87,서울청,서울성동,성수,지구대,02-463-0112,서울특별시 성동구  광나루로2길 35 성수지구대,경찰서,서울특별시 성동구  광나루로2길 35 성수지구대,서울성동 성수지구대,37.5482232014778,127.055245559476,police87
88,서울청,서울성동,서울숲,지구대,02-464-0113,서울특별시 성동구  성덕정길 77-2,경찰서,서울특별시 성동구  성덕정길 77-2,서울성동 서울숲지구대,37.5375517,127.0534605,police88
89,서울청,서울성동,왕십리,파출소,02-2295-1241,서울특별시 성동구  마장로 205,경찰서,서울특별시 성동구  마장로 205,서울성동 왕십리파출소,37.56668075,127.03266640000001,police89
90,서울청,서울성동,행당,파출소,02-2292-1812,서울특별시 성동구  행당로 89,경찰서,서울특별시 성동구  행당로 89,서울성동 행당파출소,37.555654,127.024965,police90
91,서울청,서울성동,옥수,파출소,02-2297-5898,서울특별시 성동구  독서당로 211,경찰서,서울특별시 성동구  독서당로 211,서울성동 옥수파출소,37.5486196,127.0228197,police91
92,서울청,서울성동,금호,파출소,02-2231-6253,서울특별시 성동구  금호로11길 2-1,경찰서,서울특별시 성동구  금호로11길 2-1,서울성동 금호파출소,37.5546469,127.0196061,police92
93,서울청,서울성동,응봉,파출소,02-2293-7480,서울특별시 성동구  독서당로 373 응봉파출소,경찰서,서울특별시 성동구  독서당로 373 응봉파출소,서울성동 응봉파출소,37.5497977040106,127.030020362088,police93
94,서울청,서울성동,용답,파출소,02-2245-0189,서울특별시 성동구  용답중앙길 49 용답파출소,경찰서,서울특별시 성동구  용답중앙길 49 용답파출소,서울성동 용답파출소,37.5647821400746,127.051758708211,police94
95,서울청,서울동작,사당,지구대,02-811-9853,서울특별시 동작구  동작대로9길 35,경찰서,서울특별시 동작구  동작대로9길 35,서울동작 사당지구대,37.4806808,126.9794507,police95
96,서울청,서울동작,노량진,지구대,02-811-9813,서울특별시 동작구  등용로12나길 2,경찰서,서울특별시 동작구  등용로12나길 2,서울동작 노량진지구대,37.5116355,126.9336628,police96
97,서울청,서울동작,상도,지구대,02-811-9833,서울특별시 동작구  등용로 24 ,경찰서,서울특별시 동작구  등용로 24 ,서울동작 상도지구대,37.5103026,126.9320528,police97
98,서울청,서울동작,남성,지구대,02-811-9843,서울특별시 동작구 사당로17나길 4,경찰서,서울특별시 동작구 사당로17나길 4,서울동작 남성지구대,37.4844138,126.9727228,police98
99,서울청,서울동작,흑석,지구대,02-811-9823,서울특별시 동작구 노량진로 248,경찰서,서울특별시 동작구 노량진로 248,서울동작 흑석지구대,37.5128185,126.9543139,police99
100,서울청,서울동작,신대방,지구대,02-811-9863,서울특별시 동작구 신대방1다길 24,경찰서,서울특별시 동작구 신대방1다길 24,서울동작 신대방지구대,37.4864985,126.9058503,police100
101,서울청,서울동작,대방,파출소,02-811-9873,서울특별시 동작구 여의대방로 130,경찰서,서울특별시 동작구 여의대방로 130,서울동작 대방파출소,37.5036441,126.9218426,police101
102,서울청,서울광진,광나루,지구대,02-2285-7820,서울특별시 광진구 아차산로 567,경찰서,서울특별시 광진구 아차산로 567,서울광진 광나루지구대,37.54039,127.09457,police102
103,서울청,서울광진,화양,지구대,02-2285-7810,서울특별시 광진구  능동로17길 39 화양지구대,경찰서,서울특별시 광진구  능동로17길 39 화양지구대,서울광진 화양지구대,37.5465267774587,127.071267629589,police103
104,서울청,서울광진,중곡1,파출소,02-2285-7830,서울특별시 광진구 능동로 385,경찰서,서울특별시 광진구 능동로 385,서울광진 중곡1파출소,37.5374433,127.0695827,police104
105,서울청,서울광진,중곡2,파출소,02-2285-7840,서울특별시 광진구  능동로 346,경찰서,서울특별시 광진구  능동로 346,서울광진 중곡2파출소,37.5602711,127.0815066,police105
106,서울청,서울광진,중곡3,파출소,02-2285-7850,서울특별시 광진구 동일로76가길 28,경찰서,서울특별시 광진구 동일로76가길 28,서울광진 중곡3파출소,37.5688317,127.0801796,police106
107,서울청,서울광진,중곡4,파출소,02-2285-7860,서울특별시 광진구  용마산로24길 7,경찰서,서울특별시 광진구  용마산로24길 7,서울광진 중곡4파출소,37.5652341,127.087498,police107
108,서울청,서울광진,자양,파출소,02-2285-7870,서울특별시 광진구 뚝섬로36길 9,경찰서,서울특별시 광진구 뚝섬로36길 9,서울광진 자양파출소,37.5324771,127.0707631,police108
109,서울청,서울광진,자양1,파출소,02-2285-7880,서울특별시 광진구  자양번영로 80,경찰서,서울특별시 광진구  자양번영로 80,서울광진 자양1파출소,37.5356431,127.0764146,police109
110,서울청,서울광진,자양4,파출소,02-2285-7890,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소,경찰서,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소,서울광진 자양4파출소,37.5351870096292,127.063635996316,police110
111,서울청,서울광진,구의,파출소,02-2285-7800,서울특별시 광진구 광나루로 43길 26 구의파출소,경찰서,서울특별시 광진구 광나루로 43길 26 구의파출소,서울광진 구의파출소,37.5458954287516,127.091667652198,police111
112,서울청,서울서부,응암,지구대,02-335-9800,서울특별시 은평구  은평로 171,경찰서,서울특별시 은평구  은평로 171,서울서부 응암지구대,37.6008877,126.9279925,police112
113,서울청,서울서부,신사,지구대,02-335-9810,서울특별시 은평구  은평터널로5길 6호,경찰서,서울특별시 은평구  은평터널로5길 6호,서울서부 신사지구대,37.5917796902503,126.90535752555,police113
114,서울청,서울서부,녹번,파출소,02-335-9820,서울특별시 은평구  진흥로 진흥로200,경찰서,서울특별시 은평구  진흥로 진흥로200,서울서부 녹번파출소,37.6088118976774,126.931835604338,police114
115,서울청,서울서부,응암3,파출소,02-335-9830,서울특별시 은평구  응암로 208 ,경찰서,서울특별시 은평구  응암로 208 ,서울서부 응암3파출소,37.5863901,126.9165811,police115
116,서울청,서울서부,역촌,파출소,02-350-1934,서울특별시 은평구  연서로 61,경찰서,서울특별시 은평구  연서로 61,서울서부 역촌파출소,37.6181121,126.9199353,police116
117,서울청,서울강북,미아,지구대,02-944-4112,서울특별시 강북구 도봉로 127,경찰서,서울특별시 강북구 도봉로 127,서울강북 미아지구대,37.614782,127.030116,police117
118,서울청,서울강북,솔샘,지구대,02-944-4122-7,서울특별시 강북구 오현로 4,경찰서,서울특별시 강북구 오현로 4,서울강북 솔샘지구대,37.6171416,127.0329704,police118
119,서울청,서울강북,수유1,파출소,02-944-4132,서울특별시 강북구  삼양로 305,경찰서,서울특별시 강북구  삼양로 305,서울강북 수유1파출소,37.6267735,127.0187041,police119
120,서울청,서울강북,수유2,파출소,02-944-4141,서울특별시 강북구 삼각산로 115,경찰서,서울특별시 강북구 삼각산로 115,서울강북 수유2파출소,37.6409074,127.0170752,police120
121,서울청,서울강북,수유3,파출소,02-944-4153,서울특별시 강북구  한천로150길 76,경찰서,서울특별시 강북구  한천로150길 76,서울강북 수유3파출소,37.6434093,127.0242047,police121
122,서울청,서울강북,인수,파출소,02-944-4163,서울특별시 강북구 인수봉로 227,경찰서,서울특별시 강북구 인수봉로 227,서울강북 인수파출소,37.6363,127.013,police122
